Time (s),USB Avg Power (mW)
494.7184,1838.4
494.7224,1838.4
494.7244,1838.4
494.7264,1838.4
494.7284,1838.4
494.7304,1838.4
494.7324,1836.0001
494.7344,1838.4
494.7364,1840.8
494.7384,1838.4
494.7404,1838.4
494.7424,1838.4
494.7444,1836.0001
494.7464,1838.4
494.7484,1838.4
494.7504,1836.0001
494.7524,1838.4
494.7544,1838.4
494.7564,1838.4
494.7584,1838.4
494.7604,1838.4
494.7624,1838.4
494.7644,1838.4
494.7664,1838.4
494.7684,1838.4
494.7704,1838.4
494.7724,1838.4
494.7744,1838.4
494.7764,1838.4
494.7784,1836.0001
494.7804,1838.4
494.7824,1836.0001
494.7844,1838.4
494.7864,1838.4
494.7884,1838.4
494.7904,1836.0001
494.7924,1838.4
494.7944,1838.4
494.7964,1838.4
494.7984,1836.0001
494.8004,1838.4
494.8024,1836.0001
494.8044,1838.4
494.8064,1838.4
494.8084,1838.4
494.8104,1836.0001
494.8124,1836.0001
494.8144,1838.4
494.8164,1838.4
494.8184,1836.0001
494.8204,1838.4
494.8224,1836.0001
494.8244,1838.4
494.8264,1838.4
494.8284,1836.0001
494.8304,1838.4
494.8324,1838.4
494.8344,1838.4
494.8364,1840.8
494.8384,1836.0001
494.8404,1838.4
494.8424,1838.4
494.8444,1840.8
494.8464,1838.4
494.8484,1840.8
494.8504,1836.0001
494.8524,1838.4
494.8544,1838.4
494.8564,1840.8
494.8584,1838.4
494.8604,1838.4
494.8624,1838.4
494.8644,1840.8
494.8664,1838.4
494.8684,1838.4
494.8704,1838.4
494.8724,1838.4
494.8744,1838.4
494.8764,1838.4
494.8784,1838.4
494.8804,1838.4
494.8824,1838.4
494.8844,1838.4
494.8864,1840.8
494.8884,1838.4
494.8904,1869.6001
494.8924,1838.4
494.8944,1838.4
494.8964,1840.8
494.8984,1840.8
494.9004,1836.0001
494.9024,1838.4
494.9044,1840.8
494.9064,1840.8
494.9084,1838.4
494.9104,1840.8
494.9124,1838.4
494.9144,1840.8
494.9164,1838.4
